record_type,enum_type,value,priority,sources,encodings,offsets,categories
enum_value,EConcertMovieScenePlayerStatus,Jumping,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca2e168,player
enum_value,EConcertMovieScenePlayerStatus,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca2e1e8,player
enum_value,EConcertMovieScenePlayerStatus,Paused,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca2e1c0,player
enum_value,EConcertMovieScenePlayerStatus,Playing,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca2e110,player
enum_value,EConcertMovieScenePlayerStatus,Scrubbing,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca2e138,player
enum_value,EConcertMovieScenePlayerStatus,Stepping,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca2e190,player
enum_value,EConcertMovieScenePlayerStatus,Stopped,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca2e0e8,player
enum_value,EConcertResourceLockType,Lock,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca3d580,item
enum_value,EConcertResourceLockType,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca3d560,item
enum_value,EConcertResourceLockType,Unlock,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca3d0e8,item
enum_value,EConcertSessionRepositoryMountResponseCode,AlreadyMounted,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca23fa8,creature
enum_value,EConcertSessionRepositoryMountResponseCode,Mounted,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca23f70,creature
enum_value,EConcertSessionRepositoryMountResponseCode,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca23f38,creature
enum_value,EConcertSessionRepositoryMountResponseCode,NotFound,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca23fe8,creature
enum_value,EControllerAnalogStick,CAS_LeftStick,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb753c20,player
enum_value,EControllerAnalogStick,CAS_MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb753d20,player
enum_value,EControllerAnalogStick,CAS_RightStick,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb753cf8,player
enum_value,EControllerAnalogStick,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb753cd8,player
enum_value,EControllerHand,AnyHand,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3650;ArkAscended.exe:0xb2380b8,player
enum_value,EControllerHand,Chest,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3758;ArkAscended.exe:0xb2381c0,player
enum_value,EControllerHand,ControllerHand_Count,low,ArkAscended.exe,ascii,ArkAscended.exe:0xaff3818,player
enum_value,EControllerHand,ExternalCamera,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff37d8;ArkAscended.exe:0xb238120,player
enum_value,EControllerHand,Gun,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3790;ArkAscended.exe:0xb238160,player
enum_value,EControllerHand,HMD,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff37a8;ArkAscended.exe:0xb238190,player
enum_value,EControllerHand,Left,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3690;ArkAscended.exe:0xb238058,player
enum_value,EControllerHand,LeftElbow,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3738;ArkAscended.exe:0xb2388c8,player
enum_value,EControllerHand,LeftFoot,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3840;ArkAscended.exe:0xb2389d8,player
enum_value,EControllerHand,LeftKnee,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3880;ArkAscended.exe:0xb238968,player
enum_value,EControllerHand,LeftShoulder,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3770;ArkAscended.exe:0xb2381f0,player
enum_value,EControllerHand,Pad,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff37c0;ArkAscended.exe:0xb2380f0,player
enum_value,EControllerHand,Right,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3638;ArkAscended.exe:0xb238088,player
enum_value,EControllerHand,RightElbow,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff38c0;ArkAscended.exe:0xb238900,player
enum_value,EControllerHand,RightFoot,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3860;ArkAscended.exe:0xb238a10,player
enum_value,EControllerHand,RightKnee,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff38a0;ArkAscended.exe:0xb2389a0,player
enum_value,EControllerHand,RightShoulder,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff3718;ArkAscended.exe:0xb238888,player
enum_value,EControllerHand,Special,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff37f8;ArkAscended.exe:0xb238a48,player
enum_value,EControllerHand,Waist,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xaff38e0;ArkAscended.exe:0xb238938,player
enum_value,EDataRegistryAcquireStatus,WaitingForResources,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca93240,item
enum_value,EDataRegistrySubsystemGetItemResult,Found,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca938e8,item
enum_value,EDataRegistrySubsystemGetItemResult,NotFound,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca93998,item
enum_value,EDedicatedServersDistributionMode,DevelopersAndPlayers,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc01998,player
enum_value,EDedicatedServersDistributionMode,PlayersOnly,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc01968,player
enum_value,EDinoInputAction,Crouch,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc240d18,creature
enum_value,EDinoInputAction,Fire,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc240ce0,creature
enum_value,EDinoInputAction,Target,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc240cf8,creature
enum_value,EDinoInputAction,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc240d50,creature
enum_value,EDinoTamedOrder,CycleFollowDistance,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d230,creature
enum_value,EDinoTamedOrder,FollowMe,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d278,creature
enum_value,EDinoTamedOrder,LandingToMe,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d1f0,creature
enum_value,EDinoTamedOrder,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d198,creature
enum_value,EDinoTamedOrder,SetAggressionAggressive,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02ced0,creature
enum_value,EDinoTamedOrder,SetAggressionAttackTarget,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02cf00,creature
enum_value,EDinoTamedOrder,SetAggressionNeutral,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02cf58,creature
enum_value,EDinoTamedOrder,SetAggressionPassive,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02cf30,creature
enum_value,EDinoTamedOrder,SetAggressionPassiveFlee,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d1c0,creature
enum_value,EDinoTamedOrder,StopFollowing,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d210,creature
enum_value,EDinoTamedOrder,ToggleFollowMe,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d258,creature
enum_value,EDinoTamedOrder,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d160,creature
enum_value,EDrawDebugItemType,Capsule,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6aeb30,item
enum_value,EDrawDebugItemType,Circle,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6aeac8,item
enum_value,EDrawDebugItemType,Cone,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6aeae8,item
enum_value,EDrawDebugItemType,CoordinateSystem,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6ae560,item
enum_value,EDrawDebugItemType,DirectionalArrow,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6ae4d0,item
enum_value,EDrawDebugItemType,InWorldMessage,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6aeb08,item
enum_value,EDrawDebugItemType,Line,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6ae518,item
enum_value,EDrawDebugItemType,OnScreenMessage,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6ae538,item
enum_value,EDrawDebugItemType,Point,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6ae588,item
enum_value,EDrawDebugItemType,Sphere,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6ae4f8,item
enum_value,EDrawDebugItemType,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6aeb68,item
enum_value,EDropItemIconAction,DA_AddCustomCosmetic,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2cab50,item
enum_value,EDropItemIconAction,DA_AddToSlot,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca8c0,item
enum_value,EDropItemIconAction,DA_CreateCustomCosmetic,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2cab20,item
enum_value,EDropItemIconAction,DA_Equip,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca878,item
enum_value,EDropItemIconAction,DA_EquipLocalFromRemote,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca778,item
enum_value,EDropItemIconAction,DA_EquipRemoteFromLocal,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca748,item
enum_value,EDropItemIconAction,DA_FromArkInv,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca800,item
enum_value,EDropItemIconAction,DA_FromRemoteInv,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca980,item
enum_value,EDropItemIconAction,DA_FromRemoteInvToSlot,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca718,item
enum_value,EDropItemIconAction,DA_MergeItemStack,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca5b8,item
enum_value,EDropItemIconAction,DA_NoAction,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca898,item
enum_value,EDropItemIconAction,DA_RemoteEquip,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca958,item
enum_value,EDropItemIconAction,DA_RemoveFromSlot,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca930,item
enum_value,EDropItemIconAction,DA_RemoveItemSkin,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca630,item
enum_value,EDropItemIconAction,DA_RemoveWeaponAmmo,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca688,item
enum_value,EDropItemIconAction,DA_SplitItemStack,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca590,item
enum_value,EDropItemIconAction,DA_SplitItemStackOne,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca6b8,item
enum_value,EDropItemIconAction,DA_SwapItems,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca608,item
enum_value,EDropItemIconAction,DA_ToArkInv,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca828,item
enum_value,EDropItemIconAction,DA_ToRemoteInv,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca908,item
enum_value,EDropItemIconAction,DA_ToRemoteInvFromSlot,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca6e8,item
enum_value,EDropItemIconAction,DA_UnEquip,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca8e8,item
enum_value,EDropItemIconAction,DA_UnEquipTransferToLocal,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca658,item
enum_value,EDropItemIconAction,DA_UnequipRemote,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca7d8,item
enum_value,EDropItemIconAction,DA_UnequipTransferToRemote,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca7a8,item
enum_value,EDropItemIconAction,DA_UseWithItem,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2ca5e0,item
enum_value,EDropItemIconAction,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2cab98,item
enum_value,EDropItemIconAction,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2cabe8,item
enum_value,EEngramCategory,CLOTHING,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a578,item
enum_value,EEngramCategory,CRAFTING,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a500,item
enum_value,EEngramCategory,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a868,item
enum_value,EEngramCategory,MISC,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a520,item
enum_value,EEngramCategory,MODSPECIFIC,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a848,item
enum_value,EEngramCategory,SADDLES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a538,creature;item
enum_value,EEngramCategory,STRUCTURES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a558,item
enum_value,EEngramCategory,TOOLS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a5d8,item
enum_value,EEngramCategory,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a830,item
enum_value,EEngramCategory,WEAPONS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a598,item
enum_value,EEngramGroup,ARK_ABERRATION,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a790,item
enum_value,EEngramGroup,ARK_ASASEASONPASS1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a988,item
enum_value,EEngramGroup,ARK_ASTRAEOS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a9d0,item
enum_value,EEngramGroup,ARK_ASTRAEOSORBOBSTALLTALES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a958,item
enum_value,EEngramGroup,ARK_BOBSTALLTALES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a710,item
enum_value,EEngramGroup,ARK_DARKPEGASUS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a6d8,item
enum_value,EEngramGroup,ARK_EXTINCTION,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a730,item
enum_value,EEngramGroup,ARK_FIRELION,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a6b8,item
enum_value,EEngramGroup,ARK_GEN2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a6f8,item
enum_value,EEngramGroup,ARK_GENESIS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a750,item
enum_value,EEngramGroup,ARK_LOSTCOLONY,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02aa18,item
enum_value,EEngramGroup,ARK_PRIME,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a808,item
enum_value,EEngramGroup,ARK_SCORCHEDEARTH,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a7b0,item
enum_value,EEngramGroup,ARK_SHOULDERDRAGON,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a9f0,item
enum_value,EEngramGroup,ARK_SPIRITBEAR,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a9b0,item
enum_value,EEngramGroup,ARK_TEK,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a7d0,item
enum_value,EEngramGroup,ARK_UNLEARNED,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a770,item
enum_value,EEngramGroup,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a930,item
enum_value,EEngramGroup,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a8f0,item
enum_value,EFourPlayerSplitScreenType,Grid,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb0539d8,player
enum_value,EFourPlayerSplitScreenType,Horizontal,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb053ab8,player
enum_value,EFourPlayerSplitScreenType,Vertical,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb053a00,player
enum_value,EFractureBrickBondEnum,Dataflow_FractureBrickBond_Stack,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcbae108,item
enum_value,EGAResourceFlowType,sink,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcef658,item
enum_value,EGAResourceFlowType,source,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcef638,item
enum_value,EGAResourceFlowType,undefined,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbceed10,item
enum_value,EGainParamMode,Decibels,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb997900,item
enum_value,EGainParamMode,Linear,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb9978b8,item
enum_value,EGameplayEffectAttributeCaptureSource,Source,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcaa8368,item
enum_value,EGameplayEffectAttributeCaptureSource,Target,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcaa8398,item
enum_value,EGameplayEffectStackingDurationPolicy,NeverRefresh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb02718,item
enum_value,EGameplayEffectStackingDurationPolicy,RefreshOnSuccessfulApplication,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb026d0,item
enum_value,EGameplayEffectStackingExpirationPolicy,ClearEntireStack,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb02240,item
enum_value,EGameplayEffectStackingExpirationPolicy,RefreshDuration,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb021d8,item
enum_value,EGameplayEffectStackingExpirationPolicy,RemoveSingleStackAndRefreshDuration,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb02280,item
enum_value,EGameplayEffectStackingPeriodPolicy,NeverReset,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb021a8,item
enum_value,EGameplayEffectStackingPeriodPolicy,ResetOnSuccessfulApplication,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb02160,item
enum_value,EGameplayEffectStackingType,AggregateBySource,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb045d0,item
enum_value,EGameplayEffectStackingType,AggregateByTarget,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb045a0,item
enum_value,EGameplayEffectStackingType,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb028d8,item
enum_value,EGeometryScriptUVLayoutType,Stack,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc53bfa8,item
enum_value,EGroomBindingAsyncProperties,HairGroupResources,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc5c1480,item
enum_value,EGroomBindingType,Skinning,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc5c0af0,item
enum_value,EHubSubMenu,Engrams,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2c8078,item
enum_value,EHubSubMenu,Inventory,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2c8090,item
enum_value,EHubSubMenu,TrackedDinoList,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2c80a8,creature
enum_value,EHubSubMenu,TribeManager,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2c80c8,player
enum_value,EInputResourceName,Albedo,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc27970,item
enum_value,EInputResourceName,Color,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc27950,item
enum_value,EInputResourceName,Normal,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc27788,item
enum_value,EInputResourceName,Output,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc277a8,item
enum_value,EInteractionSplatCapsuleFlags,PlayerCamera,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc005bf0,player
enum_value,EInterchangePipelineContext,AssetAlternateSkinningImport,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc716cf8,item
enum_value,EInterchangePipelineContext,AssetAlternateSkinningReimport,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc716db0,item
enum_value,EInterchangePropertyTracks,CameraPostProcessSettingsBloomDirtMaskIntensity,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72c4a0,item
enum_value,EInterchangePropertyTracks,CameraPostProcessSettingsDepthOfFieldDepthBlurAmount,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72bb10,creature
enum_value,EInterchangePropertyTracks,CameraPostProcessSettingsMotionBlurAmount,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72a6b0,creature
enum_value,EInterchangePropertyTracks,CameraPostProcessSettingsToneCurveAmount,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72dc30,creature
enum_value,EInterchangePropertyTracks,CustomDepthStencilWriteMask,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc729770,item
enum_value,EInterchangePropertyTracks,LightShadowAmount,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc728b30,creature
enum_value,EInterchangePropertyTracks,SkinnedMeshCapsuleIndirectShadowMinVisibility,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72ddd0,item
enum_value,EInterchangePropertyTracks,SkinnedMeshCastCapsuleDirectShadow,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72dcf8,item
enum_value,EInterchangePropertyTracks,SkinnedMeshCastCapsuleIndirectShadow,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72dd40,item
enum_value,EInterchangePropertyTracks,SkinnedMeshRenderStatic,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72dc78,item
enum_value,EInterchangePropertyTracks,SkinnedMeshVisibilityBasedAnimTickOption,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc72dcb0,item
