record_type,enum_type,value,priority,sources,encodings,offsets
enum_value,AnimPhysSimSpaceType,Actor,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb3575a8
enum_value,AnimPhysSimSpaceType,BoneRelative,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb357538
enum_value,AnimPhysSimSpaceType,Component,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb357378
enum_value,AnimPhysSimSpaceType,RootRelative,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb357560
enum_value,AnimPhysSimSpaceType,World,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb357588
enum_value,AnimPhysTwistAxis,AxisX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb487ec8
enum_value,AnimPhysTwistAxis,AxisY,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb487f30
enum_value,AnimPhysTwistAxis,AxisZ,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb487f10
enum_value,Audio,EDynamicFilterType,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5d1b8
enum_value,Audio,EWaveShaperType,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc7b880
enum_value,Audio,FMixerDevice,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xb432be8
enum_value,Audio::EBiquadFilter,AllPass,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58d70
enum_value,Audio::EBiquadFilter,Bandpass,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58c30
enum_value,Audio::EBiquadFilter,ButterworthHighPass,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc59810
enum_value,Audio::EBiquadFilter,ButterworthLowPass,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc597b0
enum_value,Audio::EBiquadFilter,HighShelf,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58d30
enum_value,Audio::EBiquadFilter,Highpass,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58ce8
enum_value,Audio::EBiquadFilter,LowShelf,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58df8
enum_value,Audio::EBiquadFilter,Lowpass,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58ca8
enum_value,Audio::EBiquadFilter,Notch,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58c70
enum_value,Audio::EBiquadFilter,ParametricEQ,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58db0
enum_value,Audio::EBiquadFilter,Type,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc58eb8
enum_value,Audio::EDynamicFilterType,Bell,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5d0b0
enum_value,Audio::EDynamicFilterType,HighShelf,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5d150
enum_value,Audio::EDynamicFilterType,LowShelf,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5d100
enum_value,Audio::EMusicalScale,Scale,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67a98
enum_value,Audio::EMusicalScale::Scale,Augmented,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67250
enum_value,Audio::EMusicalScale::Scale,Bebop_Dominant,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc674d0
enum_value,Audio::EMusicalScale::Scale,Bebop_Major,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67300
enum_value,Audio::EMusicalScale::Scale,Bebop_Minor,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67590
enum_value,Audio::EMusicalScale::Scale,Bebop_MinorNumber2,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67530
enum_value,Audio::EMusicalScale::Scale,Blues,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67360
enum_value,Audio::EMusicalScale::Scale,Chromatic,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67830
enum_value,Audio::EMusicalScale::Scale,Diminished,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67200
enum_value,Audio::EMusicalScale::Scale,DiminishedWholeTone,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67770
enum_value,Audio::EMusicalScale::Scale,Diminished_BeginWithHalfStep,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67180
enum_value,Audio::EMusicalScale::Scale,Diminished_BeginWithWholeStep,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc66ee0
enum_value,Audio::EMusicalScale::Scale,Dominant7th_Mixolydian,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67660
enum_value,Audio::EMusicalScale::Scale,HalfDiminished_Locrian,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67880
enum_value,Audio::EMusicalScale::Scale,HalfDiminished_LocrianNumber2,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc66e60
enum_value,Audio::EMusicalScale::Scale,HarmonicMajor,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67470
enum_value,Audio::EMusicalScale::Scale,HarmonicMinor,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67120
enum_value,Audio::EMusicalScale::Scale,Hindu,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc66db0
enum_value,Audio::EMusicalScale::Scale,Lydian,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc676d0
enum_value,Audio::EMusicalScale::Scale,LydianAugmented,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc66ff0
enum_value,Audio::EMusicalScale::Scale,LydianDominant,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc672a0
enum_value,Audio::EMusicalScale::Scale,Major,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc679c0
enum_value,Audio::EMusicalScale::Scale,MajorPentatonic,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67410
enum_value,Audio::EMusicalScale::Scale,MelodicMinor,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc670c0
enum_value,Audio::EMusicalScale::Scale,MinorPentatonic,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc673b0
enum_value,Audio::EMusicalScale::Scale,Minor_Dorian,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67960
enum_value,Audio::EMusicalScale::Scale,NaturalMinor_Aeolian,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc675f0
enum_value,Audio::EMusicalScale::Scale,Phrygian,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67720
enum_value,Audio::EMusicalScale::Scale,SixthModeOfHarmonicMinor,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc67050
enum_value,Audio::EMusicalScale::Scale,Spanish_or_Jewish,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc66e00
enum_value,Audio::EMusicalScale::Scale,WholeTone,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc677e0
enum_value,Audio::EWaveShaperType,ATan,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc7b640
enum_value,Audio::EWaveShaperType,Cubic,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc7b6c0
enum_value,Audio::EWaveShaperType,HardClip,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc7b700
enum_value,Audio::EWaveShaperType,Sin,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc7b748
enum_value,Audio::EWaveShaperType,Tanh,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc7b680
enum_value,Audio::Grain,EEnvelope,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5e008
enum_value,Audio::Grain::EEnvelope,DownwardTriangle,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5de00
enum_value,Audio::Grain::EEnvelope,ExponentialAttack,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5dc30
enum_value,Audio::Grain::EEnvelope,ExponentialDecay,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5dc90
enum_value,Audio::Grain::EEnvelope,Gaussian,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5deb0
enum_value,Audio::Grain::EEnvelope,Triangle,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5de60
enum_value,Audio::Grain::EEnvelope,UpwardTriangle,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcc5dcf0
enum_value,Av,i,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x5ce39f07
enum_value,B,D,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x9bebdb3
enum_value,B,II,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x2dff6db1
enum_value,B,K,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x4f69b539
enum_value,B,N,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x49575272
enum_value,B,PH,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x2743527b
enum_value,B,Y8,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x226edaa0
enum_value,B,g6HU,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x1757066d
enum_value,B,oC,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x50f88dd9
enum_value,B,w,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x4019b1e7
enum_value,Ba,w,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x7d34646
enum_value,C,T,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x24400bd7
enum_value,C,Zz,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x3a1f080
enum_value,C,_,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x3d3e3a7;pakchunk0-Windows.pak:0x13189c26;pakchunk0-Windows.pak:0x3b789c26
enum_value,C,d,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x2ecdc5f3
enum_value,C,u,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x49234c00
enum_value,C,z,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x1877de72
enum_value,CX,a,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x20139213
enum_value,CopyBoneDeltaMode,Accumulate,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb358530
enum_value,CopyBoneDeltaMode,Copy,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb3586b0
enum_value,Core,e,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x4ccb25;pakchunk0-Windows.pak:0xccc598;pakchunk0-Windows.pak:0x18d414c
enum_value,Core,eSwitch,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x14d3dc8
enum_value,CubeGridToolLocals,FCornerModeExtrudeAmountChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc9c0
enum_value,CubeGridToolLocals,FCornerModeSelectedCornerChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc950
enum_value,CubeGridToolLocals,FCubeGridAcceptAndStartNewChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc880
enum_value,CubeGridToolLocals,FCubeGridChangesMadeChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc8f0
enum_value,CubeGridToolLocals,FCubeGridMeshTransformChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc360
enum_value,CubeGridToolLocals,FCubeGridToolMeshChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc3d0
enum_value,CubeGridToolLocals,FCubeGridToolModeChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc290
enum_value,CubeGridToolLocals,FCubeGridToolSelectionChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc2f0
enum_value,CurveInterpolationType,AUTOINTERP,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbdfe700
enum_value,CurveInterpolationType,CONSTANT,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbdfe6c0
enum_value,CurveInterpolationType,LINEAR,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbdfe728
enum_value,D,D3,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x289810f6
enum_value,D,M,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x4a113abf
enum_value,D,V,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x3306045e
enum_value,D,W,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x1294f684;pakchunk0-Windows.pak:0x3af4f684
enum_value,D,X,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x28430d63
enum_value,D,aYX,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x2b9336fc
enum_value,D,e,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x738dbe7
enum_value,D,u,low,ArkAscended.exe,ascii,ArkAscended.exe:0xa509820
enum_value,D,v,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x48675907
enum_value,D8A,R,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x208ca082
enum_value,DI,y,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x51158a7b
enum_value,Denoiser,FCommonShaderParameters,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xb153a80
enum_value,DrO,I,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x409f94d8
enum_value,DynamicGameplayVolumeType,AntiUnderMesh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc18fe50
enum_value,DynamicGameplayVolumeType,ExclusionAntiUnderMesh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc1901f8
enum_value,DynamicGameplayVolumeType,NoBuild,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc1902a0
enum_value,DynamicGameplayVolumeType,PVEAntiUnderMesh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc18fe80
enum_value,DynamicGameplayVolumeType,PVEExclusionAntiUnderMesh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc190230
enum_value,DynamicGameplayVolumeType,PVENoBuild,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc1902c8
enum_value,DynamicGameplayVolumeType,PVPAntiUnderMesh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc1901c8
enum_value,DynamicGameplayVolumeType,PVPExclusionAntiUnderMesh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc190268
enum_value,DynamicGameplayVolumeType,PVPNoBuild,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc1902f0
enum_value,E,Cine,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x4510f1;pakchunk0-Windows.pak:0x65805c;pakchunk0-Windows.pak:0x851ea5;pakchunk0-Windows.pak:0xa51b23;pakchunk0-Windows.pak:0xc50c5d
enum_value,E,F,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x2b91ce69
enum_value,E,G,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x7dd4eeb
enum_value,E,M,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x573aaf07
enum_value,E,N,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x4df1c0f3
enum_value,E,Non,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x89daf1;pakchunk0-Windows.pak:0xa9c7ef;pakchunk0-Windows.pak:0xc9b29f;pakchunk0-Windows.pak:0x129cda1
enum_value,E,S,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x51b18ef3
enum_value,E,b,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0xe51ea5;pakchunk0-Windows.pak:0x59291c8a
enum_value,E,s,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0xc29de8c
enum_value,E,ub,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x48814f99
enum_value,EAESGCMNetResult,AESDecryptionFailed,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xbc03140;ArkAscended.exe:0xbc03280
enum_value,EAESGCMNetResult,AESMissingAuthTag,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xbc03208;ArkAscended.exe:0xbc03400
enum_value,EAESGCMNetResult,AESMissingIV,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xbc031e8;ArkAscended.exe:0xbc033b8
enum_value,EAESGCMNetResult,AESMissingPayload,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xbc03118;ArkAscended.exe:0xbc03230
enum_value,EAESGCMNetResult,AESZeroLastByte,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xbc03168;ArkAscended.exe:0xbc032d0
enum_value,EAESGCMNetResult,Success,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xbc031c8;ArkAscended.exe:0xbc03380
enum_value,EAESGCMNetResult,Unknown,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xbc031a8;ArkAscended.exe:0xbc03348
enum_value,EAILockSource,Animation,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77598
enum_value,EAILockSource,Gameplay,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc76790
enum_value,EAILockSource,Logic,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77580
enum_value,EAILockSource,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc76778
enum_value,EAILockSource,Script,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77568
enum_value,EAILockSource,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc76750
enum_value,EAIOptionFlag,Default,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc76f78
enum_value,EAIOptionFlag,Disable,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc76f48
enum_value,EAIOptionFlag,Enable,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc76f60
enum_value,EAIOptionFlag,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77100
enum_value,EAIOptionFlag,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc770d8
enum_value,EAIParamType,Bool,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc78360
enum_value,EAIParamType,Float,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc781e8
enum_value,EAIParamType,Int,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc781d0
enum_value,EAIParamType,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc78348
enum_value,EAIRequestPriority,HardScript,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77488
enum_value,EAIRequestPriority,Logic,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc774a8
enum_value,EAIRequestPriority,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77610
enum_value,EAIRequestPriority,Reaction,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77468
enum_value,EAIRequestPriority,SoftScript,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc774c8
enum_value,EAIRequestPriority,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc775d8
enum_value,EAIRequestPriority,Ultimate,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc77628
enum_value,EAISenseNotifyType,OnEveryPerception,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcc4ea0
enum_value,EAISenseNotifyType,OnPerceptionChange,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcc5ec0
enum_value,EAITaskPriority,AutonomousAI,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcc5be0
enum_value,EAITaskPriority,High,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcc5d50
enum_value,EAITaskPriority,Low,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcc5c00
enum_value,EAITaskPriority,Lowest,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcc5c18
enum_value,EAITaskPriority,Ultimate,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbcc5d30
enum_value,EAbilityGenericReplicatedEvent,GameCustom1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb7b8
enum_value,EAbilityGenericReplicatedEvent,GameCustom2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb8b0
enum_value,EAbilityGenericReplicatedEvent,GameCustom3,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb8e0
enum_value,EAbilityGenericReplicatedEvent,GameCustom4,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb850
enum_value,EAbilityGenericReplicatedEvent,GameCustom5,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb880
enum_value,EAbilityGenericReplicatedEvent,GameCustom6,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb958
enum_value,EAbilityGenericReplicatedEvent,GenericCancel,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb6b0
enum_value,EAbilityGenericReplicatedEvent,GenericConfirm,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb750
enum_value,EAbilityGenericReplicatedEvent,GenericSignalFromClient,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb818
enum_value,EAbilityGenericReplicatedEvent,GenericSignalFromServer,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb780
enum_value,EAbilityGenericReplicatedEvent,InputPressed,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb6e0
enum_value,EAbilityGenericReplicatedEvent,InputReleased,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb7e8
enum_value,EAbilityGenericReplicatedEvent,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb988
enum_value,EAbilityGenericReplicatedEvent,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcafb930
